,ref_type,ref_scale,deblurr,variance_img_diff,powerDropoff,covfrac,amp,logcamp
175,False,1,False,0.0005,3.0,0.5,0.5,0.5
176,False,1,False,0.0005,3.0,0.5,0.5,1.0
177,False,1,False,0.0005,3.0,0.5,1.0,0.0
178,False,1,False,0.0005,3.0,0.5,1.0,0.5
179,False,1,False,0.0005,3.0,0.5,1.0,1.0
180,False,1,False,0.0005,4.0,0.33,0.1,0.0
181,False,1,False,0.0005,4.0,0.33,0.1,0.5
182,False,1,False,0.0005,4.0,0.33,0.1,1.0
183,False,1,False,0.0005,4.0,0.33,0.5,0.0
184,False,1,False,0.0005,4.0,0.33,0.5,0.5
185,False,1,False,0.0005,4.0,0.33,0.5,1.0
186,False,1,False,0.0005,4.0,0.33,1.0,0.0
187,False,1,False,0.0005,4.0,0.33,1.0,0.5
188,False,1,False,0.0005,4.0,0.33,1.0,1.0
189,False,1,False,0.0005,4.0,0.5,0.1,0.0
190,False,1,False,0.0005,4.0,0.5,0.1,0.5
191,False,1,False,0.0005,4.0,0.5,0.1,1.0
192,False,1,False,0.0005,4.0,0.5,0.5,0.0
193,False,1,False,0.0005,4.0,0.5,0.5,0.5
194,False,1,False,0.0005,4.0,0.5,0.5,1.0
195,False,1,False,0.0005,4.0,0.5,1.0,0.0
196,False,1,False,0.0005,4.0,0.5,1.0,0.5
197,False,1,False,0.0005,4.0,0.5,1.0,1.0
198,False,1,False,0.0005,5.0,0.33,0.1,0.0
199,False,1,False,0.0005,5.0,0.33,0.1,0.5
200,False,1,False,0.0005,5.0,0.33,0.1,1.0
201,False,1,False,0.0005,5.0,0.33,0.5,0.0
202,False,1,False,0.0005,5.0,0.33,0.5,0.5
203,False,1,False,0.0005,5.0,0.33,0.5,1.0
204,False,1,False,0.0005,5.0,0.33,1.0,0.0
205,False,1,False,0.0005,5.0,0.33,1.0,0.5
206,False,1,False,0.0005,5.0,0.33,1.0,1.0
207,False,1,False,0.0005,5.0,0.5,0.1,0.0
208,False,1,False,0.0005,5.0,0.5,0.1,0.5
209,False,1,False,0.0005,5.0,0.5,0.1,1.0
210,False,1,False,0.0005,5.0,0.5,0.5,0.0
211,False,1,False,0.0005,5.0,0.5,0.5,0.5
212,False,1,False,0.0005,5.0,0.5,0.5,1.0
213,False,1,False,0.0005,5.0,0.5,1.0,0.0
214,False,1,False,0.0005,5.0,0.5,1.0,0.5
215,False,1,False,0.0005,5.0,0.5,1.0,1.0
216,False,1,False,5e-06,3.0,0.33,0.1,0.0
217,False,1,False,5e-06,3.0,0.33,0.1,0.5
218,False,1,False,5e-06,3.0,0.33,0.1,1.0
219,False,1,False,5e-06,3.0,0.33,0.5,0.0
220,False,1,False,5e-06,3.0,0.33,0.5,0.5
221,False,1,False,5e-06,3.0,0.33,0.5,1.0
222,False,1,False,5e-06,3.0,0.33,1.0,0.0
223,False,1,False,5e-06,3.0,0.33,1.0,0.5
224,False,1,False,5e-06,3.0,0.33,1.0,1.0
225,False,1,False,5e-06,3.0,0.5,0.1,0.0
226,False,1,False,5e-06,3.0,0.5,0.1,0.5
227,False,1,False,5e-06,3.0,0.5,0.1,1.0
228,False,1,False,5e-06,3.0,0.5,0.5,0.0
229,False,1,False,5e-06,3.0,0.5,0.5,0.5
230,False,1,False,5e-06,3.0,0.5,0.5,1.0
231,False,1,False,5e-06,3.0,0.5,1.0,0.0
232,False,1,False,5e-06,3.0,0.5,1.0,0.5
233,False,1,False,5e-06,3.0,0.5,1.0,1.0
234,False,1,False,5e-06,4.0,0.33,0.1,0.0
235,False,1,False,5e-06,4.0,0.33,0.1,0.5
236,False,1,False,5e-06,4.0,0.33,0.1,1.0
237,False,1,False,5e-06,4.0,0.33,0.5,0.0
238,False,1,False,5e-06,4.0,0.33,0.5,0.5
239,False,1,False,5e-06,4.0,0.33,0.5,1.0
240,False,1,False,5e-06,4.0,0.33,1.0,0.0
241,False,1,False,5e-06,4.0,0.33,1.0,0.5
242,False,1,False,5e-06,4.0,0.33,1.0,1.0
243,False,1,False,5e-06,4.0,0.5,0.1,0.0
244,False,1,False,5e-06,4.0,0.5,0.1,0.5
245,False,1,False,5e-06,4.0,0.5,0.1,1.0
246,False,1,False,5e-06,4.0,0.5,0.5,0.0
247,False,1,False,5e-06,4.0,0.5,0.5,0.5
248,False,1,False,5e-06,4.0,0.5,0.5,1.0
249,False,1,False,5e-06,4.0,0.5,1.0,0.0
250,False,1,False,5e-06,4.0,0.5,1.0,0.5
251,False,1,False,5e-06,4.0,0.5,1.0,1.0
252,False,1,False,5e-06,5.0,0.33,0.1,0.0
253,False,1,False,5e-06,5.0,0.33,0.1,0.5
254,False,1,False,5e-06,5.0,0.33,0.1,1.0
255,False,1,False,5e-06,5.0,0.33,0.5,0.0
256,False,1,False,5e-06,5.0,0.33,0.5,0.5
257,False,1,False,5e-06,5.0,0.33,0.5,1.0
258,False,1,False,5e-06,5.0,0.33,1.0,0.0
259,False,1,False,5e-06,5.0,0.33,1.0,0.5
260,False,1,False,5e-06,5.0,0.33,1.0,1.0
261,False,1,False,5e-06,5.0,0.5,0.1,0.0
262,False,1,False,5e-06,5.0,0.5,0.1,0.5
263,False,1,False,5e-06,5.0,0.5,0.1,1.0
264,False,1,False,5e-06,5.0,0.5,0.5,0.0
265,False,1,False,5e-06,5.0,0.5,0.5,0.5
266,False,1,False,5e-06,5.0,0.5,0.5,1.0
267,False,1,False,5e-06,5.0,0.5,1.0,0.0
268,False,1,False,5e-06,5.0,0.5,1.0,0.5
269,False,1,False,5e-06,5.0,0.5,1.0,1.0
270,False,1,False,5e-08,3.0,0.33,0.1,0.0
271,False,1,False,5e-08,3.0,0.33,0.1,0.5
272,False,1,False,5e-08,3.0,0.33,0.1,1.0
273,False,1,False,5e-08,3.0,0.33,0.5,0.0
274,False,1,False,5e-08,3.0,0.33,0.5,0.5
275,False,1,False,5e-08,3.0,0.33,0.5,1.0
276,False,1,False,5e-08,3.0,0.33,1.0,0.0
277,False,1,False,5e-08,3.0,0.33,1.0,0.5
278,False,1,False,5e-08,3.0,0.33,1.0,1.0
279,False,1,False,5e-08,3.0,0.5,0.1,0.0
280,False,1,False,5e-08,3.0,0.5,0.1,0.5
281,False,1,False,5e-08,3.0,0.5,0.1,1.0
282,False,1,False,5e-08,3.0,0.5,0.5,0.0
283,False,1,False,5e-08,3.0,0.5,0.5,0.5
284,False,1,False,5e-08,3.0,0.5,0.5,1.0
285,False,1,False,5e-08,3.0,0.5,1.0,0.0
286,False,1,False,5e-08,3.0,0.5,1.0,0.5
287,False,1,False,5e-08,3.0,0.5,1.0,1.0
288,False,1,False,5e-08,4.0,0.33,0.1,0.0
289,False,1,False,5e-08,4.0,0.33,0.1,0.5
290,False,1,False,5e-08,4.0,0.33,0.1,1.0
291,False,1,False,5e-08,4.0,0.33,0.5,0.0
292,False,1,False,5e-08,4.0,0.33,0.5,0.5
293,False,1,False,5e-08,4.0,0.33,0.5,1.0
294,False,1,False,5e-08,4.0,0.33,1.0,0.0
295,False,1,False,5e-08,4.0,0.33,1.0,0.5
296,False,1,False,5e-08,4.0,0.33,1.0,1.0
297,False,1,False,5e-08,4.0,0.5,0.1,0.0
298,False,1,False,5e-08,4.0,0.5,0.1,0.5
299,False,1,False,5e-08,4.0,0.5,0.1,1.0
300,False,1,False,5e-08,4.0,0.5,0.5,0.0
301,False,1,False,5e-08,4.0,0.5,0.5,0.5
302,False,1,False,5e-08,4.0,0.5,0.5,1.0
303,False,1,False,5e-08,4.0,0.5,1.0,0.0
304,False,1,False,5e-08,4.0,0.5,1.0,0.5
305,False,1,False,5e-08,4.0,0.5,1.0,1.0
306,False,1,False,5e-08,5.0,0.33,0.1,0.0
307,False,1,False,5e-08,5.0,0.33,0.1,0.5
308,False,1,False,5e-08,5.0,0.33,0.1,1.0
309,False,1,False,5e-08,5.0,0.33,0.5,0.0
310,False,1,False,5e-08,5.0,0.33,0.5,0.5
311,False,1,False,5e-08,5.0,0.33,0.5,1.0
312,False,1,False,5e-08,5.0,0.33,1.0,0.0
313,False,1,False,5e-08,5.0,0.33,1.0,0.5
314,False,1,False,5e-08,5.0,0.33,1.0,1.0
315,False,1,False,5e-08,5.0,0.5,0.1,0.0
316,False,1,False,5e-08,5.0,0.5,0.1,0.5
317,False,1,False,5e-08,5.0,0.5,0.1,1.0
318,False,1,False,5e-08,5.0,0.5,0.5,0.0
319,False,1,False,5e-08,5.0,0.5,0.5,0.5
320,False,1,False,5e-08,5.0,0.5,0.5,1.0
321,False,1,False,5e-08,5.0,0.5,1.0,0.0
322,False,1,False,5e-08,5.0,0.5,1.0,0.5
323,False,1,False,5e-08,5.0,0.5,1.0,1.0
324,dime,2,True,0.0005,3.0,0.33,0.1,0.0
325,dime,2,True,0.0005,3.0,0.33,0.1,0.5
326,dime,2,True,0.0005,3.0,0.33,0.1,1.0
327,dime,2,True,0.0005,3.0,0.33,0.5,0.0
328,dime,2,True,0.0005,3.0,0.33,0.5,0.5
329,dime,2,True,0.0005,3.0,0.33,0.5,1.0
330,dime,2,True,0.0005,3.0,0.33,1.0,0.0
331,dime,2,True,0.0005,3.0,0.33,1.0,0.5
332,dime,2,True,0.0005,3.0,0.33,1.0,1.0
333,dime,2,True,0.0005,3.0,0.5,0.1,0.0
334,dime,2,True,0.0005,3.0,0.5,0.1,0.5
335,dime,2,True,0.0005,3.0,0.5,0.1,1.0
336,dime,2,True,0.0005,3.0,0.5,0.5,0.0
337,dime,2,True,0.0005,3.0,0.5,0.5,0.5
338,dime,2,True,0.0005,3.0,0.5,0.5,1.0
339,dime,2,True,0.0005,3.0,0.5,1.0,0.0
340,dime,2,True,0.0005,3.0,0.5,1.0,0.5
341,dime,2,True,0.0005,3.0,0.5,1.0,1.0
342,dime,2,True,0.0005,4.0,0.33,0.1,0.0
343,dime,2,True,0.0005,4.0,0.33,0.1,0.5
344,dime,2,True,0.0005,4.0,0.33,0.1,1.0
345,dime,2,True,0.0005,4.0,0.33,0.5,0.0
346,dime,2,True,0.0005,4.0,0.33,0.5,0.5
347,dime,2,True,0.0005,4.0,0.33,0.5,1.0
348,dime,2,True,0.0005,4.0,0.33,1.0,0.0
349,dime,2,True,0.0005,4.0,0.33,1.0,0.5
350,dime,2,True,0.0005,4.0,0.33,1.0,1.0
351,dime,2,True,0.0005,4.0,0.5,0.1,0.0
352,dime,2,True,0.0005,4.0,0.5,0.1,0.5
353,dime,2,True,0.0005,4.0,0.5,0.1,1.0
354,dime,2,True,0.0005,4.0,0.5,0.5,0.0
355,dime,2,True,0.0005,4.0,0.5,0.5,0.5
356,dime,2,True,0.0005,4.0,0.5,0.5,1.0
357,dime,2,True,0.0005,4.0,0.5,1.0,0.0
358,dime,2,True,0.0005,4.0,0.5,1.0,0.5
359,dime,2,True,0.0005,4.0,0.5,1.0,1.0
360,dime,2,True,0.0005,5.0,0.33,0.1,0.0
361,dime,2,True,0.0005,5.0,0.33,0.1,0.5
362,dime,2,True,0.0005,5.0,0.33,0.1,1.0
363,dime,2,True,0.0005,5.0,0.33,0.5,0.0
364,dime,2,True,0.0005,5.0,0.33,0.5,0.5
365,dime,2,True,0.0005,5.0,0.33,0.5,1.0
366,dime,2,True,0.0005,5.0,0.33,1.0,0.0
367,dime,2,True,0.0005,5.0,0.33,1.0,0.5
368,dime,2,True,0.0005,5.0,0.33,1.0,1.0
369,dime,2,True,0.0005,5.0,0.5,0.1,0.0
370,dime,2,True,0.0005,5.0,0.5,0.1,0.5
371,dime,2,True,0.0005,5.0,0.5,0.1,1.0
