,syserr,ref_type,ref_scale,deblurr,psd_noise,psd_a,psd_u0,psd_b,psd_c,fwhm,amp,simple,tv,tv2
768,0.0,dime,2.0,True,True,0.015,2.0,1.0,2.0,80,1.0,0.01,0.1,0.01
769,0.02,quarter1,2.0,True,True,0.02,2.0,2.0,2.0,90,1.0,0.1,0.01,0.01
770,0.0,dime,2.0,True,True,0.02,2.0,1.0,2.0,90,1.0,0.01,0.1,0.0
771,0.02,dime,1.0,True,False,1.0,1.0,1.0,1.0,80,1.0,0.1,1.0,0.0
772,0.05,dime,2.0,True,True,0.02,2.0,5.0,2.0,90,1.0,0.1,0.01,0.1
773,0.02,dime,1.0,True,True,0.015,2.0,5.0,2.0,90,1.0,0.1,0.1,0.1
774,0.02,dime,2.0,True,True,0.015,2.0,2.0,2.0,90,1.0,0.1,0.1,0.01
775,0.05,dime,2.0,True,True,0.025,2.0,5.0,2.0,90,1.0,0.1,0.0,0.1
776,0.02,quarter1,1.0,True,True,0.02,2.0,1.0,2.0,90,1.0,0.1,0.1,0.0
777,0.0,dime,1.0,True,False,1.0,1.0,1.0,1.0,80,1.0,0.1,1.0,0.1
778,0.02,quarter1,1.0,True,True,0.02,2.0,1.0,2.0,80,1.0,0.0,0.1,0.0
779,0.0,dime,1.0,True,True,0.02,2.0,2.0,2.0,90,1.0,0.1,0.1,0.1
780,0.02,dime,2.0,True,True,0.015,2.0,5.0,2.0,70,1.0,0.1,1.0,0.01
781,0.05,dime,1.0,True,False,1.0,1.0,1.0,1.0,80,1.0,1.0,0.01,0.1
782,0.05,dime,2.0,True,True,0.025,2.0,2.0,2.0,90,1.0,0.1,0.1,0.01
783,0.05,quarter1,1.0,True,True,0.02,2.0,2.0,2.0,90,1.0,0.1,0.0,0.1
784,0.05,quarter1,2.0,True,True,0.02,2.0,1.0,2.0,90,1.0,0.1,0.01,0.0
785,0.05,dime,1.0,True,True,0.02,2.0,3.0,2.0,90,1.0,0.1,0.0,0.1
786,0.02,dime,1.0,True,True,0.015,2.0,2.0,2.0,70,1.0,0.1,0.1,0.01
787,0.05,dime,1.0,True,True,0.025,2.0,2.0,2.0,90,1.0,0.1,0.0,0.1
788,0.05,dime,2.0,True,True,0.025,2.0,2.0,2.0,90,1.0,0.1,0.01,0.0
789,0.0,quarter1,1.0,True,True,0.015,2.0,5.0,2.0,70,1.0,0.01,1.0,0.01
790,0.02,dime,2.0,True,True,0.015,2.0,1.0,2.0,90,1.0,0.1,0.1,0.0
791,0.02,quarter1,2.0,True,True,0.015,2.0,5.0,2.0,80,1.0,0.1,0.1,0.1
792,0.05,quarter1,1.0,True,False,1.0,1.0,1.0,1.0,80,1.0,0.01,1.0,0.0
793,0.05,quarter1,1.0,True,True,0.025,2.0,1.0,2.0,80,1.0,0.1,0.01,0.0
794,0.05,dime,2.0,True,True,0.02,2.0,5.0,2.0,90,1.0,0.1,0.1,0.01
795,0.05,dime,2.0,True,True,0.02,2.0,5.0,2.0,90,1.0,0.1,0.0,0.1
796,0.0,dime,2.0,True,True,0.02,2.0,2.0,2.0,80,1.0,0.01,0.1,0.0
797,0.0,dime,1.0,True,True,0.02,2.0,5.0,2.0,90,1.0,0.1,0.1,0.1
798,0.02,dime,2.0,True,True,0.02,2.0,3.0,2.0,80,1.0,0.0,0.1,0.0
799,0.02,quarter1,2.0,True,True,0.025,2.0,3.0,2.0,70,1.0,0.01,0.1,0.01
800,0.0,dime,2.0,True,True,0.02,2.0,2.0,2.0,70,1.0,0.01,0.1,0.0
801,0.02,dime,2.0,True,True,0.015,2.0,3.0,2.0,90,1.0,0.1,0.01,0.01
802,0.02,quarter1,2.0,True,True,0.015,2.0,3.0,2.0,90,1.0,0.1,0.1,0.01
803,0.02,dime,2.0,True,False,1.0,1.0,1.0,1.0,90,1.0,0.1,0.1,0.01
804,0.02,quarter1,1.0,True,True,0.015,2.0,2.0,2.0,70,1.0,0.1,0.1,0.1
805,0.0,dime,1.0,True,True,0.015,2.0,5.0,2.0,70,1.0,0.1,0.1,0.1
806,0.02,quarter1,2.0,True,True,0.025,2.0,2.0,2.0,80,1.0,0.1,0.01,0.0
807,0.02,quarter1,1.0,True,True,0.02,2.0,5.0,2.0,70,1.0,0.1,1.0,0.01
808,0.02,dime,2.0,True,True,0.02,2.0,2.0,2.0,80,1.0,0.1,0.01,0.1
809,0.02,dime,1.0,True,True,0.025,2.0,2.0,2.0,90,1.0,0.1,0.01,0.01
810,0.02,dime,1.0,True,False,1.0,1.0,1.0,1.0,70,1.0,0.1,1.0,0.1
811,0.05,quarter1,1.0,True,True,0.015,2.0,1.0,2.0,90,0.1,0.1,0.01,0.0
812,0.02,dime,2.0,True,True,0.025,2.0,5.0,2.0,90,1.0,0.1,0.1,0.0
813,0.0,dime,2.0,True,True,0.025,2.0,3.0,2.0,90,1.0,0.1,0.1,0.1
814,0.02,dime,1.0,True,True,0.025,2.0,3.0,2.0,90,1.0,0.1,0.01,0.1
815,0.05,dime,1.0,True,False,1.0,1.0,1.0,1.0,90,1.0,1.0,1.0,1.0
816,0.02,quarter1,2.0,True,False,1.0,1.0,1.0,1.0,80,1.0,0.1,1.0,0.01
817,0.02,quarter1,1.0,True,True,0.02,2.0,5.0,2.0,90,1.0,0.1,0.1,0.1
818,0.05,dime,2.0,True,False,1.0,1.0,1.0,1.0,70,1.0,0.1,0.1,0.0
819,0.02,dime,1.0,True,True,0.02,2.0,3.0,2.0,90,1.0,0.0,0.1,0.0
820,0.0,dime,2.0,True,True,0.015,2.0,3.0,2.0,80,1.0,0.1,0.01,0.0
821,0.02,quarter1,1.0,True,True,0.015,2.0,1.0,2.0,90,1.0,0.1,0.1,0.01
822,0.02,quarter1,2.0,True,True,0.02,2.0,3.0,2.0,90,1.0,0.1,0.0,0.1
823,0.05,dime,2.0,True,True,0.015,2.0,3.0,2.0,80,1.0,0.1,0.01,0.1
824,0.05,dime,2.0,True,True,0.025,2.0,2.0,2.0,80,1.0,0.1,0.0,0.1
825,0.0,dime,2.0,True,True,0.025,2.0,5.0,2.0,90,1.0,0.1,0.1,0.1
826,0.02,dime,1.0,True,False,1.0,1.0,1.0,1.0,90,1.0,1.0,0.1,0.01
827,0.0,dime,1.0,True,True,0.02,2.0,1.0,2.0,80,1.0,0.1,0.01,0.01
